LbandSAR,PbandSAR,Q1
0,0,
0,1,0.004727487854515988
0,2,0.0012444329827005893
0,3,0.0007138610194611303
0,4,0.0008406213063217828
0,5,0.006367259837408377
0,6,0.038744295333754175
0,7,0.0013853001075576086
0,8,0.009002840346718437
0,9,0.0011643730541343478
1,0,0.006453863385442566
1,1,0.003903128955507925
1,2,0.0019391718274654787
1,3,0.0038189232253963527
1,4,0.001370676017818377
1,5,0.00780028288528742
1,6,0.003977347067538729
1,7,0.002735153231129246
1,8,0.0006556584753393658
1,9,0.009127789651118377
2,0,0.00703444034486047
2,1,0.006301214569707878
2,2,0.0019437880729959542
2,3,0.0023649221927285816
2,4,0.018247372826282922
2,5,0.001847827925122722
2,6,0.0021256004753476584
2,7,0.001343544871161589
2,8,0.0013173102550784912
2,9,0.003590588220747414
3,0,0.03306091219748098
3,1,0.004058778494473614
3,2,0.0018113001527932525
3,3,0.0013225335592883857
3,4,0.0019384950472999634
3,5,0.0019117968760274506
3,6,0.0014977887451018774
3,7,0.000980358610059368
3,8,0.007563868490738513
3,9,0.0054787409183824146
4,0,0.0017366023351254652
4,1,0.002554840670644189
4,2,0.0038697708101884183
4,3,0.10137327995182158
4,4,0.004511559949760422
4,5,0.01817515026603084
4,6,0.0014973617087678057
4,7,0.0023957353733008576
4,8,0.0014008541239764328
4,9,0.0028376225928205163
5,0,0.003637678566300696
5,1,0.0023729562087500453
5,2,0.0012057079145496898
5,3,0.0018227471983958878
5,4,0.0017340895006972784
5,5,0.00349485665326412
5,6,0.0008403198518084461
5,7,0.002396800977600425
5,8,0.01228389965150027
5,9,0.0017967975673736764
6,0,0.04073416586203469
6,1,0.0014826380626032187
6,2,0.00479241341292767
6,3,0.0034242754308612916
6,4,0.001920564972417921
6,5,0.009420724391685918
6,6,0.012254641000751118
6,7,0.00733497404606299
6,8,0.0014588949424339914
6,9,0.0012473038978739173
7,0,0.011896448793001608
7,1,0.0021611314571440042
7,2,0.0021319020376520835
7,3,0.03328871317938132
7,4,0.0037544027220262413
7,5,0.0076829352975236785
7,6,0.002319101402779183
7,7,0.0016703587020252216
7,8,0.0007487528133907834
7,9,0.0020866845646775214
8,0,0.0016518621113965606
8,1,0.0059427546631062676
8,2,0.032322501021274555
8,3,0.00203218380255976
8,4,0.0014484373222631982
8,5,0.0018983020166503137
8,6,0.002880275291765983
8,7,0.0017889788819800898
8,8,0.0019593759548640895
8,9,0.0014641314738075204
9,0,0.0029774189491540534
9,1,0.0013835882183877847
9,2,0.0015690595495227507
9,3,0.0020082150859433486
9,4,0.004685705533333205
9,5,0.0046819151224002644
9,6,0.004747950106873471
9,7,0.02758003554917498
9,8,0.0010057544764986838
9,9,0.0016151392645035413
